artist_name,album_name,track_name,track_uri,track_key,in_library
Fly Boi Keno,Yike Train,Yike Train,spotify:track:3e7yQkzP852ss63k3LUrWe,fly boi keno - yike train,True
Katherine Li,"love, k","Fell First, Fell Hard",spotify:track:08fntx0dB3xhB1zZ7dtYcP,"katherine li - fell first, fell hard",True
HUNTR/X,KPop Demon Hunters,Golden,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,huntr/x - golden,True
Saja Boys,KPop Demon Hunters,Your Idol,spotify:track:1I37Zz2g3hk9eWxaNkj031,saja boys - your idol,True
Chase Atlantic,Paradise - EP,Slow Down,spotify:track:2VyaGJJI8dOiv36F8vHZIL,chase atlantic - slow down,True
Ariana Grande,Yours Truly,Baby I,spotify:track:6NmCCgnQcxKHPOAKgd9Nth,ariana grande - baby i,True
HUNTR/X,Golden,Golden - Acapella,spotify:track:3RUVLIRUNA3KHLt8pd8PL6,huntr/x - golden - acapella,True
LNGSHOT,SHOT CALLERS,Moonwalkin',spotify:track:46V2ciN6F5bxjQWityNhkY,lngshot - moonwalkin',True
Ariana Grande,"thank u, next",bloodline,spotify:track:2hloaUoRonYssMuqLCBLTX,ariana grande - bloodline,True
D4M $loan,I Couldn't Decide,Sex Talk,spotify:track:0X2eq8W4o9qLoOAMil6Hce,d4m $loan - sex talk,True
Roberto,Ama-Rulah (17:12),Ama-Rulah,spotify:track:7eaBubQrTkzcIksYBYspeC,roberto - ama-rulah,True
Summer Walker,Last Day Of Summer,Girls Need Love (with Drake) - Remix,spotify:track:14SaZBTjxlorHJQxXh01Hu,summer walker - girls need love (with drake) - remix,True
Ne-Yo,Year Of The Gentleman,Miss Independent,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,ne-yo - miss independent,True
Ella Mai,Heart On My Sleeve,This Is,spotify:track:3pdUv2fviypOdl1PTHDunH,ella mai - this is,True
Dua Lipa,Hot Hits,Break My Heart,spotify:track:1XGDOYH6eW8H6sWYUaGJOg,dua lipa - break my heart,True
NIKI,Nicole,Take A Chance With Me,spotify:track:21acb66djKRlDPJOXRBCkc,niki - take a chance with me,True
Sauti Sol,Live and Die in Afrika,Sura Yako,spotify:track:5Rwldwsglce8prKAoS6Osw,sauti sol - sura yako,True
Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),spotify:track:4HBZA5flZLE435QTztThqH,ariana grande - stuck with u (with justin bieber),True
Saja Boys,KPop Demon Hunters,Soda Pop,spotify:track:02sy7FAs8dkDNYsHp4Ul3f,saja boys - soda pop,True
Ariana Grande,eternal sunshine,supernatural,spotify:track:142PiXzA84lmEw2RstFHFa,ariana grande - supernatural,True
Ebony Riley,Only You,Only You,spotify:track:4w3MvMb3ylHkBLUIIaCQzF,ebony riley - only you,True
Flo Milli,Flo Jackson,Flo Jackson,spotify:track:4fwJzG3arwvfC1ZbRdracJ,flo milli - flo jackson,True
Chris Grey,US AGAINST THE WORLD,US AGAINST THE WORLD,spotify:track:3aBZqqx8ghkjUooKzROEkl,chris grey - us against the world,True
Russ,3:15 (Breathe),3:15 (Breathe),spotify:track:0dGqP4VickYjtIaB5VOt4H,russ - 3:15 (breathe),True
BTS,Love Yourself 結 'Answer',Euphoria,spotify:track:5YMXGBD6vcYP7IolemyLtK,bts - euphoria,True
Loye,Lef And Right,Lef And Right,spotify:track:5tGBv72RjqxXIuI89aXpea,loye - lef and right,True
Daniel Di Angelo,Tap Out,Tap Out,spotify:track:6YgSgbwBOGFtbbsX8BKhbN,daniel di angelo - tap out,True
The Neighbourhood,I Love You.,Sweater Weather,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,the neighbourhood - sweater weather,True
Taylor Swift,Lover,Paper Rings,spotify:track:4y5bvROuBDPr5fuwXbIBZR,taylor swift - paper rings,True
Dully Sykes,Inde,Inde,spotify:track:2N0TsT6Y7Jt8nBGUA7AEms,dully sykes - inde,True
Ariana Grande,Dangerous Woman,Everyday,spotify:track:30TmLgK0ja5O8q9l4BShIX,ariana grande - everyday,True
Chase Atlantic,Chase Atlantic,Swim,spotify:track:3M0lSi5WW79CXQamgSBIjx,chase atlantic - swim,True
Bazzi,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),spotify:track:4VUwkH455At9kENOfzTqmF,bazzi - beautiful (feat. camila cabello),True
IMPACT Boston Band,Locked Out of Heaven,Locked Out of Heaven,spotify:track:1GfBYE3TNb0V1GYaQ6Iifd,impact boston band - locked out of heaven,True
DJ Snake,Encore,Let Me Love You,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,dj snake - let me love you,True
LNGSHOT,SHOT CALLERS,Never Let Go,spotify:track:37xebnhvUyM8VyyDDeo65d,lngshot - never let go,True
Chris Grey,FUNHOUSE / WRONG,WRONG,spotify:track:3htoQPC7v5x04gWCQz1y2S,chris grey - wrong,True
Kat Dahlia,My Garden,I Think I'm In Love,spotify:track:3U1TuSqHIubBA10cVP7Sk6,kat dahlia - i think i'm in love,True
BTS,MAP OF THE SOUL : 7,My Time,spotify:track:0YJFlxeHMUr9MxSDQVuQJA,bts - my time,True
Vib3,Remedy,Remedy,spotify:track:3Du8Xmww6pJj48L47RJNfF,vib3 - remedy,True
LPB Poody,Batman,Batman,spotify:track:7fL8dLyXc7GQVRCN54IWOw,lpb poody - batman,True
Harmonize,Made For Us,Wote,spotify:track:7vYxNbbyISaUiZ3Q5wkGFG,harmonize - wote,True
dopuu,american wedding (Hotel California),american wedding (Hotel California),spotify:track:4MWk55HpGESQdvthbGhMhF,dopuu - american wedding (hotel california),True
Zuchu,I Am Zuchu,Wana,spotify:track:7ufIM6YIiXioquJDmBnnrP,zuchu - wana,True
Chase Atlantic,PHASES,PHASES,spotify:track:20C3wlDfoJjXO5RBpXp3py,chase atlantic - phases,True
Sean Paul,(When You Gonna) Give It Up to Me,(When You Gonna) Give It Up to Me - Radio Version,spotify:track:5nEdwtSv0qqeE0l4o1lR4q,sean paul - (when you gonna) give it up to me - radio version,True
Ariana Grande,eternal sunshine deluxe: brighter days ahead,past life,spotify:track:2Im5a2GdRF1QIUUNqnloX4,ariana grande - past life,True
Lauren Spencer Smith,Mirror,That Part,spotify:track:7ggnnK9KC8ZKhahPdnY0c3,lauren spencer smith - that part,True
Nyashinski,Malaika,Malaika,spotify:track:1JxCzcKgdKeGITvisTRzLh,nyashinski - malaika,True
JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,jp saxe - if the world was ending (feat. julia michaels),True
SWIM,Eyes On You,Eyes On You,spotify:track:2ezF8mcfJ6CEkxbzgzkApX,swim - eyes on you,True
TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,Tinnitus (Wanna be a rock),spotify:track:0f0SbtoKGe41cX5LzlnX6X,tomorrow x together - tinnitus (wanna be a rock),True
James Arthur,Back from the Edge,Train Wreck,spotify:track:55Am8neGJkdj2ADaM3aw5H,james arthur - train wreck,True
Chase Atlantic,LOST IN HEAVEN,DISCONNECTED,spotify:track:2KemQ0cHDFOV2nbMVMC0UG,chase atlantic - disconnected,True
Nandy,The African Princess,Kivuruge,spotify:track:0MklPQIab8cg2TCyS0sPBd,nandy - kivuruge,True
PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),N o C h i l l,spotify:track:1zhMHgotgZXkLCXpqNRnPK,partynextdoor - n o c h i l l,True
Gracie Abrams,The Secret of Us,That’s So True,spotify:track:7ne4VBA60CxGM75vw0EYad,gracie abrams - that’s so true,True
Jordan Adetunji,KEHLANI (REMIX) [feat. Kehlani],KEHLANI (REMIX) [feat. Kehlani],spotify:track:5Nt2FMqnKI2mlp7lztURNo,jordan adetunji - kehlani (remix) [feat. kehlani],True
Joe Kay,"If Not Now, Then When?",Frontin & Crushin (with Arin Ray & Blackway),spotify:track:5SlJKOCunYf4HIkktFBr0M,joe kay - frontin & crushin (with arin ray & blackway),True
BIBI,EVE: ROMANCE,Scott and Zelda,spotify:track:1MJyiTlVdSLAjI9aclZ3hL,bibi - scott and zelda,True
(((()))),Novacane - 8D Audio,Novacane - 8D Audio,spotify:track:60fZdIqvDlF3izojZ7EEby,(((()))) - novacane - 8d audio,True
Paris Paloma,LABOUR,LABOUR - the cacophony,spotify:track:4B0cJGASxVICLW2AsBZhiE,paris paloma - labour - the cacophony,True
Jordyne,Like A Drug,Like A Drug,spotify:track:4tIlbIewHnvQ4cmFCyxvHy,jordyne - like a drug,True
Troye Sivan,"Music Is Universal: Young, Wild, And Pride",Strawberries & Cigarettes,spotify:track:06acGBQs64u4sKB7FfG9cY,troye sivan - strawberries & cigarettes,True
Brandy,90's UK Hits,The Boy Is Mine - Radio Edit,spotify:track:096zD36d0mf7M9GYF3SVrU,brandy - the boy is mine - radio edit,True
AMARIA BB,Slow Motion,Slow Motion,spotify:track:2pN5GwdTWbFZNRgFIRlW7J,amaria bb - slow motion,True
Alex Isley,Marigold,Love Again,spotify:track:6ZwNOYjJ06J77YF1ggXtaT,alex isley - love again,True
Kendrick Lamar,GNX,luther (with sza),spotify:track:2CGNAOSuO1MEFCbBRgUzjd,kendrick lamar - luther (with sza),True
Tobii,Bad Girls Like You,Bad Girls Like You,spotify:track:23EDUpNbiKcDwhUf9kBRo8,tobii - bad girls like you,True
MAX,LOVE IN STEREO,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),spotify:track:3W2kGv8CcwRl2MWQN5vxKL,max - stupid in love (feat. huh yunjin of le sserafim),True
Ariana Grande,Sweetener,sweetener,spotify:track:70khXICDeTTxgYtw3EysKH,ariana grande - sweetener,True
H33RA,SHOOK,SHOOK,spotify:track:0wdSmyHGxoNaJmLENqcaUj,h33ra - shook,True
Jung Kook,GOLDEN,Yes or No,spotify:track:2gkVEnpahpE3bQuvGuCpAV,jung kook - yes or no,True
Ariana Grande,Dangerous Woman,Side To Side,spotify:track:44ONERBHALxftQNWq6dmyd,ariana grande - side to side,True
LonelyEve,Reminder,Reminder - Sped Up,spotify:track:4taJESgkwXfoskqDJXcpVu,lonelyeve - reminder - sped up,True
ELIO,ELIO and Friends : The Remixes,hurts 2 hate somebody (with Chase Atlantic & No Rome),spotify:track:6Uq1BN8HXOB6jhrtp8ssZZ,elio - hurts 2 hate somebody (with chase atlantic & no rome),True
Maroon 5,Singles,Payphone,spotify:track:1Yg5ZRctvs3yj5EDUJVsVh,maroon 5 - payphone,True
Naïka,"Lost in Paradïse, Pt. 2",Ma Chérie,spotify:track:4ZXyPNr79hrUoPWNXXRhQB,naïka - ma chérie,True
Rayvanny,Chombo,Chombo,spotify:track:5LCmGAGWZlVnu6V5ym3AlK,rayvanny - chombo,True
Keenan Te,Fingerprints,Fingerprints,spotify:track:4kAlUfeHA7oxVKPs823Goj,keenan te - fingerprints,True
PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),F o r C e r t a i n,spotify:track:2d93r7U06Wx7uJfU2q9Nza,partynextdoor - f o r c e r t a i n,True
Rihanna,Unapologetic,Loveeeeeee Song,spotify:track:5Mk1tgVrSuoWWwPVFNS0jB,rihanna - loveeeeeee song,True
Ariana Grande,Positions,west side,spotify:track:1whfVLMKWqAX3uk97VXsNN,ariana grande - west side,True
WizTheMc,Show Me Love,Show Me Love,spotify:track:5ITV0zqzjOYfFWpW0xBmRa,wizthemc - show me love,True
zandros,need to know,need to know,spotify:track:5Cw6hiPWth7Z5lr8qeCgDS,zandros - need to know,True
dYL,I Love IT Gospel Choir Version,Thong Song Motown - Choir Christmas Version,spotify:track:6UwwgeJA8JQGX4JxbrMYsO,dyl - thong song motown - choir christmas version,True
H.E.R.,Back of My Mind,Come Through (feat. Chris Brown),spotify:track:29he0Joo5sz2607A6ZBT6H,h.e.r. - come through (feat. chris brown),True
USHER,Hey Daddy (Daddy's Home) (feat. Plies),Hey Daddy (Daddy's Home) (feat. Plies),spotify:track:1kLYMOFEzQX9PgdKB7VkSL,usher - hey daddy (daddy's home) (feat. plies),True
Sabrina Carpenter,Manchild,Manchild,spotify:track:42UBPzRMh5yyz0EDPr6fr1,sabrina carpenter - manchild,True
Bruno Mars,The Romantic,Cha Cha Cha,spotify:track:6QletrrmpkUpeJkipX9pgf,bruno mars - cha cha cha,True
Sowan,She Got Me,She Got Me,spotify:track:28Qkb7jJQJUY6PBBjzHwzN,sowan - she got me,True
Ariana Grande,"thank u, next",needy,spotify:track:1TEL6MlSSVLSdhOSddidlJ,ariana grande - needy,True
James Arthur,YOU,Empty Space,spotify:track:6GFfDRG1Sff3IZaD0TYro4,james arthur - empty space,True
SWIM,Body Loud,Body Loud,spotify:track:1dKyceHSpbmHEghVvhTrfo,swim - body loud,True
ENHYPEN,ORANGE BLOOD,Sweet Venom,spotify:track:2YmfV4lAjrAQvuggKCUX6m,enhypen - sweet venom,True
Tory Lanez,I Told You,Say It,spotify:track:2Gyc6e2cLxA5hoX1NOvYnU,tory lanez - say it,True
